Chromosome,Start,B
2L,1,0.655572
2L,1001,0.654634
2L,2001,0.653654
2L,3001,0.652628
2L,4001,0.651553
2L,5001,0.650426
2L,6001,0.649242
2L,7001,0.647997
2L,8001,0.646686
2L,9001,0.645304
2L,10001,0.643844
2L,11001,0.642322
2L,12001,0.640910
2L,13001,0.639709
2L,14001,0.638657
2L,15001,0.637903
2L,16001,0.637315
2L,17001,0.636656
2L,18001,0.635905
2L,19001,0.635039
2L,20001,0.546850
2L,21001,0.545710
2L,22001,0.544531
2L,23001,0.543530
2L,24001,0.542719
2L,25001,0.541958
2L,26001,0.541139
2L,27001,0.540320
2L,28001,0.539554
2L,29001,0.538828
2L,30001,0.538024
2L,31001,0.537284
2L,32001,0.536756
2L,33001,0.536418
2L,34001,0.536118
2L,35001,0.535861
2L,36001,0.535651
2L,37001,0.535625
2L,38001,0.535793
2L,39001,0.536006
2L,40001,0.427436
2L,41001,0.427197
2L,42001,0.426917
2L,43001,0.426596
2L,44001,0.426234
2L,45001,0.425831
2L,46001,0.425386
2L,47001,0.424898
2L,48001,0.424366
2L,49001,0.423790
2L,50001,0.423168
2L,51001,0.422499
2L,52001,0.421783
2L,53001,0.421016
2L,54001,0.420199
2L,55001,0.419330
2L,56001,0.418405
2L,57001,0.417424
2L,58001,0.416388
2L,59001,0.415297
2L,60001,0.365103
2L,61001,0.365103
2L,62001,0.365103
2L,63001,0.365103
2L,64001,0.365103
2L,65001,0.365103
2L,66001,0.365103
2L,67001,0.365103
2L,68001,0.365103
2L,69001,0.365103
2L,70001,0.365103
2L,71001,0.365103
2L,72001,0.365103
2L,73001,0.365103
2L,74001,0.365103
2L,75001,0.365103
2L,76001,0.365103
2L,77001,0.365103
2L,78001,0.365103
2L,79001,0.365103
2L,80001,0.365338
2L,81001,0.365338
2L,82001,0.365338
2L,83001,0.365338
2L,84001,0.365338
2L,85001,0.365338
2L,86001,0.365338
2L,87001,0.365338
2L,88001,0.365338
2L,89001,0.365338
2L,90001,0.365338
2L,91001,0.365338
2L,92001,0.365338
2L,93001,0.365338
2L,94001,0.365338
2L,95001,0.365338
2L,96001,0.365338
2L,97001,0.365338
2L,98001,0.365338
2L,99001,0.365338
2L,100001,0.366079
2L,101001,0.366079
2L,102001,0.366079
2L,103001,0.366079
2L,104001,0.366079
2L,105001,0.366079
2L,106001,0.366079
2L,107001,0.366079
2L,108001,0.366079
2L,109001,0.366079
2L,110001,0.366079
2L,111001,0.366079
2L,112001,0.366079
2L,113001,0.366079
2L,114001,0.366079
2L,115001,0.366079
2L,116001,0.366079
2L,117001,0.366079
2L,118001,0.366079
2L,119001,0.366079
2L,120001,0.366108
2L,121001,0.366108
2L,122001,0.366108
2L,123001,0.366108
2L,124001,0.366108
2L,125001,0.366108
2L,126001,0.366108
2L,127001,0.366108
2L,128001,0.366108
2L,129001,0.366108
2L,130001,0.366108
2L,131001,0.366108
2L,132001,0.366108
2L,133001,0.366108
2L,134001,0.366108
2L,135001,0.366108
2L,136001,0.366108
2L,137001,0.366108
2L,138001,0.366108
2L,139001,0.366108
2L,140001,0.366109
2L,141001,0.366109
2L,142001,0.366109
2L,143001,0.366109
2L,144001,0.366109
2L,145001,0.366109
2L,146001,0.366109
2L,147001,0.366109
2L,148001,0.366109
2L,149001,0.366109
2L,150001,0.366109
2L,151001,0.366109
2L,152001,0.366109
2L,153001,0.366109
2L,154001,0.366109
2L,155001,0.366109
2L,156001,0.366109
2L,157001,0.366109
2L,158001,0.366109
2L,159001,0.366109
2L,160001,0.366112
2L,161001,0.366112
2L,162001,0.366112
2L,163001,0.366112
2L,164001,0.366112
2L,165001,0.366112
2L,166001,0.366112
2L,167001,0.366112
2L,168001,0.366112
2L,169001,0.366112
2L,170001,0.366112
2L,171001,0.366112
2L,172001,0.366112
2L,173001,0.366112
2L,174001,0.366112
2L,175001,0.366112
2L,176001,0.366112
2L,177001,0.366112
2L,178001,0.366112
2L,179001,0.366112
2L,180001,0.366066
2L,181001,0.366066
2L,182001,0.366066
2L,183001,0.366066
2L,184001,0.366066
2L,185001,0.366066
2L,186001,0.366066
2L,187001,0.366066
2L,188001,0.366066
2L,189001,0.366066
2L,190001,0.366066
2L,191001,0.366066
2L,192001,0.366066
2L,193001,0.366066
2L,194001,0.366066
2L,195001,0.366066
2L,196001,0.366066
2L,197001,0.366066
2L,198001,0.366066
2L,199001,0.366066
2L,200001,0.366289
2L,201001,0.366289
2L,202001,0.366289
2L,203001,0.366289
2L,204001,0.366289
2L,205001,0.366289
2L,206001,0.366289
2L,207001,0.366289
2L,208001,0.366289
2L,209001,0.366289
2L,210001,0.366289
2L,211001,0.366289
2L,212001,0.366289
2L,213001,0.366289
2L,214001,0.366289
2L,215001,0.366289
2L,216001,0.366289
2L,217001,0.366289
2L,218001,0.366289
2L,219001,0.366289
2L,220001,0.366225
2L,221001,0.366225
2L,222001,0.366225
2L,223001,0.366225
2L,224001,0.366225
2L,225001,0.366225
2L,226001,0.366225
2L,227001,0.366225
2L,228001,0.366225
2L,229001,0.366225
2L,230001,0.366225
2L,231001,0.366225
2L,232001,0.366225
2L,233001,0.366225
2L,234001,0.366221
2L,235001,0.366209
2L,236001,0.366201
2L,237001,0.366197
2L,238001,0.366196
2L,239001,0.366199
2L,240001,0.367859
2L,241001,0.367952
2L,242001,0.368062
2L,243001,0.368196
2L,244001,0.368329
2L,245001,0.368460
2L,246001,0.368590
2L,247001,0.368718
2L,248001,0.368844
2L,249001,0.368969
2L,250001,0.369092
2L,251001,0.369214
2L,252001,0.369343
2L,253001,0.369478
2L,254001,0.369622
2L,255001,0.369771
2L,256001,0.369917
2L,257001,0.370062
2L,258001,0.370206
2L,259001,0.370348
2L,260001,0.376875
2L,261001,0.376896
2L,262001,0.376912
2L,263001,0.376923
2L,264001,0.376936
2L,265001,0.376970
2L,266001,0.377027
2L,267001,0.377096
2L,268001,0.377162
2L,269001,0.377224
2L,270001,0.377300
2L,271001,0.377397
2L,272001,0.377502
2L,273001,0.377626
2L,274001,0.377766
2L,275001,0.377919
2L,276001,0.378091
2L,277001,0.378277
2L,278001,0.378469
2L,279001,0.378672
2L,280001,0.388758
2L,281001,0.388851
2L,282001,0.388956
2L,283001,0.389073
2L,284001,0.389196
2L,285001,0.389325
2L,286001,0.389457
2L,287001,0.389590
2L,288001,0.389737
2L,289001,0.389901
2L,290001,0.390065
2L,291001,0.390229
2L,292001,0.390390
2L,293001,0.390555
2L,294001,0.390730
2L,295001,0.390914
2L,296001,0.391110
2L,297001,0.391324
2L,298001,0.391537
2L,299001,0.391751
2L,300001,0.402306
2L,301001,0.402444
2L,302001,0.402582
2L,303001,0.402730
2L,304001,0.402876
2L,305001,0.403018
2L,306001,0.403157
2L,307001,0.403293
2L,308001,0.403425
2L,309001,0.403553
2L,310001,0.403679
2L,311001,0.403800
2L,312001,0.403919
2L,313001,0.404034
2L,314001,0.404145
2L,315001,0.404253
2L,316001,0.404358
2L,317001,0.404459
2L,318001,0.404559
2L,319001,0.404672
2L,320001,0.414679
2L,321001,0.414742
2L,322001,0.414814
2L,323001,0.414901
2L,324001,0.414990
2L,325001,0.415075
2L,326001,0.415163
2L,327001,0.415252
2L,328001,0.415352
2L,329001,0.415478
2L,330001,0.415624
2L,331001,0.415795
2L,332001,0.415990
2L,333001,0.416189
2L,334001,0.416387
2L,335001,0.416584
2L,336001,0.416785
2L,337001,0.416994
2L,338001,0.417206
2L,339001,0.417419
2L,340001,0.428265
2L,341001,0.428288
2L,342001,0.428310
2L,343001,0.428340
2L,344001,0.428392
2L,345001,0.428465
2L,346001,0.428547
2L,347001,0.428626
2L,348001,0.428702
2L,349001,0.428774
2L,350001,0.428844
2L,351001,0.428910
2L,352001,0.428973
2L,353001,0.429033
2L,354001,0.429090
2L,355001,0.429143
2L,356001,0.429200
2L,357001,0.429278
2L,358001,0.429366
2L,359001,0.429453
