Chromosome,Start,B
2L,1,0.973413
2L,1001,0.973003
2L,2001,0.972491
2L,3001,0.971834
2L,4001,0.970965
2L,5001,0.969769
2L,6001,0.968029
2L,7001,0.965297
2L,8001,0.960467
2L,9001,0.949906
2L,10001,0.907855
2L,11001,0.468907
2L,12001,0.244322
2L,13001,0.463606
2L,14001,0.191373
2L,15001,0.347903
2L,16001,0.867209
2L,17001,0.850270
2L,18001,0.941255
2L,19001,0.878376
2L,20001,0.895839
2L,21001,0.761502
2L,22001,0.213650
2L,23001,0.196535
2L,24001,0.456690
2L,25001,0.710099
2L,26001,0.540210
2L,27001,0.454828
2L,28001,0.334286
2L,29001,0.750678
2L,30001,0.389990
2L,31001,0.164826
2L,32001,0.167204
2L,33001,0.449170
2L,34001,0.348903
2L,35001,0.424481
2L,36001,0.167681
2L,37001,0.167383
2L,38001,0.416624
2L,39001,0.422004
2L,40001,0.669986
2L,41001,0.720999
2L,42001,0.734946
2L,43001,0.740461
2L,44001,0.742440
2L,45001,0.742351
2L,46001,0.740702
2L,47001,0.737604
2L,48001,0.732935
2L,49001,0.726355
2L,50001,0.717265
2L,51001,0.704673
2L,52001,0.686937
2L,53001,0.661263
2L,54001,0.622697
2L,55001,0.562056
2L,56001,0.461922
2L,57001,0.289608
2L,58001,0.068133
2L,59001,0.001063
2L,60001,0.000000
2L,61001,0.000000
2L,62001,0.000000
2L,63001,0.000000
2L,64001,0.000000
2L,65001,0.000000
2L,66001,0.000000
2L,67001,0.000000
2L,68001,0.000000
2L,69001,0.000000
2L,70001,0.000000
2L,71001,0.000000
2L,72001,0.000000
2L,73001,0.000000
2L,74001,0.000000
2L,75001,0.000000
2L,76001,0.000000
2L,77001,0.000000
2L,78001,0.000000
2L,79001,0.000000
2L,80001,0.000000
2L,81001,0.000000
2L,82001,0.000000
2L,83001,0.000000
2L,84001,0.000000
2L,85001,0.000000
2L,86001,0.000000
2L,87001,0.000000
2L,88001,0.000000
2L,89001,0.000000
2L,90001,0.000000
2L,91001,0.000000
2L,92001,0.000000
2L,93001,0.000000
2L,94001,0.000000
2L,95001,0.000000
2L,96001,0.000000
2L,97001,0.000000
2L,98001,0.000000
2L,99001,0.000000
2L,100001,0.000000
2L,101001,0.000000
2L,102001,0.000000
2L,103001,0.000000
2L,104001,0.000000
2L,105001,0.000000
2L,106001,0.000000
2L,107001,0.000000
2L,108001,0.000000
2L,109001,0.000000
2L,110001,0.000000
2L,111001,0.000000
2L,112001,0.000000
2L,113001,0.000000
2L,114001,0.000000
2L,115001,0.000000
2L,116001,0.000000
2L,117001,0.000000
2L,118001,0.000000
2L,119001,0.000000
2L,120001,0.000000
2L,121001,0.000000
2L,122001,0.000000
2L,123001,0.000000
2L,124001,0.000000
2L,125001,0.000000
2L,126001,0.000000
2L,127001,0.000000
2L,128001,0.000000
2L,129001,0.000000
2L,130001,0.000000
2L,131001,0.000000
2L,132001,0.000000
2L,133001,0.000000
2L,134001,0.000000
2L,135001,0.000000
2L,136001,0.000000
2L,137001,0.000000
2L,138001,0.000000
2L,139001,0.000000
2L,140001,0.000000
2L,141001,0.000000
2L,142001,0.000000
2L,143001,0.000000
2L,144001,0.000000
2L,145001,0.000000
2L,146001,0.000000
2L,147001,0.000000
2L,148001,0.000000
2L,149001,0.000000
2L,150001,0.000000
2L,151001,0.000000
2L,152001,0.000000
2L,153001,0.000000
2L,154001,0.000000
2L,155001,0.000000
2L,156001,0.000000
2L,157001,0.000000
2L,158001,0.000000
2L,159001,0.000000
2L,160001,0.000000
2L,161001,0.000000
2L,162001,0.000000
2L,163001,0.000000
2L,164001,0.000000
2L,165001,0.000000
2L,166001,0.000000
2L,167001,0.000000
2L,168001,0.000000
2L,169001,0.000000
2L,170001,0.000000
2L,171001,0.000000
2L,172001,0.000000
2L,173001,0.000000
2L,174001,0.000000
2L,175001,0.000000
2L,176001,0.000000
2L,177001,0.000000
2L,178001,0.000000
2L,179001,0.000000
2L,180001,0.000000
2L,181001,0.000000
2L,182001,0.000000
2L,183001,0.000000
2L,184001,0.000000
2L,185001,0.000000
2L,186001,0.000000
2L,187001,0.000000
2L,188001,0.000000
2L,189001,0.000000
2L,190001,0.000000
2L,191001,0.000000
2L,192001,0.000000
2L,193001,0.000000
2L,194001,0.000000
2L,195001,0.000000
2L,196001,0.000000
2L,197001,0.000000
2L,198001,0.000000
2L,199001,0.000000
2L,200001,0.000000
2L,201001,0.000000
2L,202001,0.000000
2L,203001,0.000000
2L,204001,0.000000
2L,205001,0.000000
2L,206001,0.000000
2L,207001,0.000000
2L,208001,0.000000
2L,209001,0.000000
2L,210001,0.000000
2L,211001,0.000000
2L,212001,0.000000
2L,213001,0.000000
2L,214001,0.000000
2L,215001,0.000000
2L,216001,0.000000
2L,217001,0.000000
2L,218001,0.000000
2L,219001,0.000000
2L,220001,0.000000
2L,221001,0.000000
2L,222001,0.000000
2L,223001,0.000000
2L,224001,0.000000
2L,225001,0.000000
2L,226001,0.000000
2L,227001,0.000000
2L,228001,0.000000
2L,229001,0.000000
